"id","table_name","index_type","index_count","rows_count","duration_ms","rows_per_sec","operation","measured_at"
29,test_no_index,None,0,10000,36.23,276014,DELETE,2026-03-21 12:46:12.989 +0200
31,test_hash,Hash,2,10000,63.21,158203,DELETE,2026-03-21 12:46:12.989 +0200
34,test_partial,Partial,2,10000,64.39,155304,DELETE,2026-03-21 12:46:12.989 +0200
33,test_gin,GIN,2,10000,65.81,151953,DELETE,2026-03-21 12:46:12.989 +0200
32,test_brin,BRIN,2,10000,67.27,148655,DELETE,2026-03-21 12:46:12.989 +0200
35,test_multi_index,Multi,7,10000,102.68,97390,DELETE,2026-03-21 12:46:12.989 +0200
30,test_btree,B-tree,3,10000,113.80,87873,DELETE,2026-03-21 12:46:12.989 +0200
4,test_brin,BRIN,2,100000,533.43,187466,INSERT,2026-03-21 12:40:28.143 +0200
6,test_partial,Partial,2,100000,661.99,151060,INSERT,2026-03-21 12:40:28.143 +0200
1,test_no_index,None,0,100000,698.27,143211,INSERT,2026-03-21 12:40:28.143 +0200
3,test_hash,Hash,2,100000,877.10,114012,INSERT,2026-03-21 12:40:28.143 +0200
5,test_gin,GIN,2,100000,1035.13,96606,INSERT,2026-03-21 12:40:28.143 +0200
2,test_btree,B-tree,3,100000,1560.43,64085,INSERT,2026-03-21 12:40:28.143 +0200
7,test_multi_index,Multi,7,100000,2707.75,36931,INSERT,2026-03-21 12:40:28.143 +0200
11,test_brin,BRIN,2,500000,2813.36,177723,INSERT,2026-03-21 12:40:28.143 +0200
13,test_partial,Partial,2,500000,3511.31,142397,INSERT,2026-03-21 12:40:28.143 +0200
8,test_no_index,None,0,500000,3681.32,135821,INSERT,2026-03-21 12:40:28.143 +0200
10,test_hash,Hash,2,500000,4817.04,103798,INSERT,2026-03-21 12:40:28.143 +0200
12,test_gin,GIN,2,500000,6015.08,83124,INSERT,2026-03-21 12:40:28.143 +0200
9,test_btree,B-tree,3,500000,8138.57,61436,INSERT,2026-03-21 12:40:28.143 +0200
14,test_multi_index,Multi,7,500000,13427.89,37236,INSERT,2026-03-21 12:40:28.143 +0200
18,test_brin,BRIN,2,1000000,5357.93,186639,INSERT,2026-03-21 12:40:28.143 +0200
15,test_no_index,None,0,1000000,6659.07,150171,INSERT,2026-03-21 12:40:28.143 +0200
20,test_partial,Partial,2,1000000,7120.40,140442,INSERT,2026-03-21 12:40:28.143 +0200
17,test_hash,Hash,2,1000000,10123.38,98781,INSERT,2026-03-21 12:40:28.143 +0200
19,test_gin,GIN,2,1000000,11636.68,85935,INSERT,2026-03-21 12:40:28.143 +0200
16,test_btree,B-tree,3,1000000,17876.61,55939,INSERT,2026-03-21 12:40:28.143 +0200
21,test_multi_index,Multi,7,1000000,26142.79,38251,INSERT,2026-03-21 12:40:28.143 +0200
26,test_gin,GIN,2,50000,81.35,614628,UPDATE,2026-03-21 12:46:12.989 +0200
24,test_hash,Hash,2,50000,83.08,601830,UPDATE,2026-03-21 12:46:12.989 +0200
25,test_brin,BRIN,2,50000,86.48,578168,UPDATE,2026-03-21 12:46:12.989 +0200
27,test_partial,Partial,2,50000,86.56,577634,UPDATE,2026-03-21 12:46:12.989 +0200
28,test_multi_index,Multi,7,50000,150.07,333178,UPDATE,2026-03-21 12:46:12.989 +0200
23,test_btree,B-tree,3,50000,155.52,321502,UPDATE,2026-03-21 12:46:12.989 +0200
22,test_no_index,None,0,50000,340.71,146752,UPDATE,2026-03-21 12:46:12.989 +0200
