"Тип індексу","Індексів","Рядків","Час, мс","Рядків/сек","Уповільнення, %"
None,0,100000,639.05,156482,0.0
BRIN,2,100000,715.56,139751,12.0
Partial,2,100000,868.50,115141,35.9
Hash,2,100000,1002.26,99775,56.8
GIN,2,100000,1407.58,71044,120.3
B-tree,3,100000,1687.28,59267,164.0
Multi,7,100000,2758.27,36255,331.6
BRIN,2,500000,2952.79,169331,0.0
Partial,2,500000,4337.91,115263,46.9
None,0,500000,5250.43,95230,77.8
Hash,2,500000,5736.23,87165,94.3
GIN,2,500000,5971.44,83732,102.2
B-tree,3,500000,8388.70,59604,184.1
Multi,7,500000,13749.10,36366,365.6
BRIN,2,1000000,7445.38,134311,0.0
None,0,1000000,8055.80,124134,8.2
Partial,2,1000000,8853.53,112949,18.9
Hash,2,1000000,9647.09,103658,29.6
GIN,2,1000000,13617.24,73436,82.9
B-tree,3,1000000,19204.53,52071,157.9
Multi,7,1000000,27130.15,36859,264.4
